id filter_num1 kernel_size1 filter_num2 kernel_size2 hidden_layer1 hidden_layer2 learning_rate batch_size train_accuracy validation_accuracy time/s
1023 16 5 32 3 200 60 0.01 16 20.8380184173584 20.29637336730957 3272.26656126976
1024 8 3 48 3 120 20 0.0001 64 77.53193664550781 76.02452850341797 1066.871165752411
1025 12 5 80 5 160 20 0.0001 64 83.4236068725586 81.05262756347656 2606.9857976436615
1026 16 5 80 5 200 40 0.0002 128 89.28461456298828 85.35513305664062 2815.9906375408173
1027 12 3 64 3 120 60 0.005 32 20.8380184173584 20.29637336730957 1508.8381803035736
1028 16 3 80 5 200 60 0.0002 64 91.79866790771484 87.13336944580078 1456.5059416294098
1029 16 5 80 5 120 60 0.01 256 20.8380184173584 20.29637336730957 2670.753104686737
103 16 3 48 3 200 60 0.0002 32 91.8548812866211 86.88809204101562 1300.6031062602997
1030 16 3 80 5 200 40 0.0001 16 92.39653015136719 87.04138946533203 2274.5923817157745
1031 16 3 32 3 200 20 0.0001 256 66.08073425292969 64.98722076416016 1642.84392786026
1032 8 5 80 5 160 60 0.0005 16 97.9509506225586 86.44864654541016 2125.8510558605194
1033 16 5 32 3 160 20 0.0005 128 90.92488098144531 85.67195129394531 1246.0464556217194
1034 8 3 64 5 160 20 0.001 128 96.69902801513672 87.02095031738281 1430.8422315120697
1035 8 5 64 5 160 40 0.01 256 20.8380184173584 20.29637336730957 1697.9600505828857
1036 4 3 64 5 160 40 0.005 64 70.48033142089844 68.64588928222656 1024.8595554828644
1037 8 5 32 5 160 60 0.005 512 90.44966888427734 84.66019439697266 1131.1879861354828
1038 4 3 64 3 120 20 0.002 256 95.39601135253906 86.03985595703125 864.4871258735657
1039 12 5 32 3 160 20 0.0002 512 69.7445068359375 68.75830078125 1119.8124070167542
104 16 5 80 5 200 60 0.005 16 20.8380184173584 20.29637336730957 3159.7256309986115
1040 12 3 32 3 120 60 0.001 512 88.04803466796875 85.09963989257812 1027.0864951610565
1041 12 3 48 3 120 60 0.001 128 95.19673156738281 87.01072692871094 1188.3818490505219
1042 8 5 64 5 120 40 0.005 256 20.8380184173584 20.29637336730957 1589.632746219635
1043 4 5 80 3 120 40 0.0001 32 87.10781860351562 84.42514038085938 1230.3131861686707
1044 16 5 32 3 120 60 0.001 256 92.4833984375 86.2851333618164 1709.3580775260925
1045 16 5 64 3 200 20 0.002 128 97.31732177734375 86.9698486328125 1088.7614023685455
1046 16 3 32 5 200 20 0.001 512 87.4093017578125 84.2411880493164 1683.5327672958374
1047 16 3 80 5 160 60 0.005 16 20.8380184173584 20.29637336730957 2788.8116369247437
1048 8 5 32 5 160 20 0.01 32 20.8380184173584 20.29637336730957 1262.505390405655
1049 12 3 80 3 200 60 0.0005 256 90.49565887451172 86.47930908203125 1122.662425994873
105 16 5 32 3 160 20 0.0002 32 90.2197265625 85.60040283203125 1292.2093164920807
1050 16 3 64 3 200 60 0.0002 256 83.98058319091797 82.42207336425781 1413.7029321193695
1051 16 5 32 5 200 60 0.002 16 77.45529174804688 76.34133911132812 1833.4675402641296
1052 4 5 48 5 200 60 0.002 32 94.3127212524414 84.66019439697266 1191.1972618103027
1053 4 5 80 5 120 40 0.001 128 96.78589630126953 86.09095764160156 1311.0924973487854
1054 12 3 32 3 120 20 0.0001 256 67.35820007324219 66.54061889648438 944.7704784870148
1055 16 3 80 3 160 20 0.005 16 20.8380184173584 20.29637336730957 2503.9525661468506
1056 4 3 32 5 160 60 0.002 256 94.96678924560547 86.43842315673828 853.4941990375519
1057 12 3 64 3 160 20 0.0005 512 83.4389419555664 81.55339813232422 1193.2658622264862
1058 8 5 80 5 120 60 0.005 64 60.28615188598633 59.82626724243164 994.8964364528656
